COMPANY CODE,BUSINESS AREA,CREDIT CONTROL AREA,CUSTOMER,BRANCH,BRANCH NAME,CUSTOMER NAME,DOCUMENT TYPE,DOCUMENT NUMBER,BILLING DOCUMENT,REFERENCE KEY 2,REFERENCE KEY 3,ISSUED DATE,NET DUE DATE,TERMS OF PAYMENT,DUE DAYS,AMOUNT,CLEARING,COMMITTED,BALANCE,CUR.,CREDIT LIMIT,TEXT,NOT OVERDUE,1 TO 30 DD,31 TO 60 DD,> TO 60 - DD,DOC.TYPE,DIVISION,DAYS LATE AT THE END OF THE MONTH,PAYMENTS AND CREDIT NOTES,EMAIL,COMPANY CODE2,# DOCUMENT,CODE
7803,1003,TT01,51044264,67069368,ZCOC ERROL, Errol J Yeates,X8,5000000000,0,0,0,11/02/2022,11/02/2022,0,1344,16695.18,0,0,16695.18,TTD,0,RML-R-147303,0,0,0,16695.18,Bounced Cheque,Concrete / Ready Mix,1358,0,0,RML,5000000000,4926
7803,1003,TT01,51043936,67185794,RAMCO INDUSTRIES, RAMCO INDUSTRIES LIMITED,DZ,9000000116,0,TRANSFER,0,12/02/2025,12/02/2025,0,0,-48060,-42941.25,0,-5118.75,TTD,0,1-1-1-1-PO#QT500726954,0,0,0,0,Payment,Concrete / Ready Mix,261,-5118.75,0,RML,9000000116,8494
7803,1003,TT01,51043936,67068919,Z030 RAMCO INDUSTRIE, RAMCO INDUSTRIES LIMITED,DZ,9000005803,0,OTHER,0018/9981/0000/0,28/07/2023,28/07/2023,0,0,-25000,-16650,0,-8350,TTD,0,QT 236660027,0,0,0,0,Payment,Concrete / Ready Mix,826,-8350,0,RML,9000005803,8494
7802,1002,TT00,51043205,67067097,Z007 4 R'S,4 R's Hardware & Electrical Shop,X8,5000000000,0,0,0,27/05/2021,1/06/2021,0,1599,4320.35,300,0,4020.35,TTD,0,TCL-52913,0,0,0,4020.35,Bounced Cheque,Cement,1613,0,rishiramroop4r@hotmail.com,TCL,5000000000,6705
7803,1003,TT01,51076932,67177115,A & A MECHANICAL CON,A & A Mechanical Contractors,RV,3400003396,503160125,0,0,3/09/2025,3/10/2025,0,14,72765,0,0,72765,TTD,500000,0,0,72765,0,0,Invoice,Concrete / Ready Mix,28,0,admin@aamech-tt.com,RML,503160125,6818
7803,1003,TT01,51076932,67177115,A & A MECHANICAL CON,A & A Mechanical Contractors,RV,3400004408,503187857,0,0,6/09/2025,6/10/2025,0,11,62370,0,0,62370,TTD,500000,0,0,62370,0,0,Invoice,Concrete / Ready Mix,25,0,admin@aamech-tt.com,RML,503187857,6818
7803,1004,TT01,51076932,67193295,A & A MECHANICAL CON,A & A Mechanical Contractors,RV,3400004628,503528603,0,0,10/10/2025,9/11/2025,0,-23,9788.85,0,0,9788.85,TTD,500000,0,9788.85,0,0,0,Invoice,Aggregates,-9,0,admin@aamech-tt.com,RML,503528603,6818
7803,1004,TT01,51076932,67193295,A & A MECHANICAL CON,A & A Mechanical Contractors,RV,3400005010,503515619,0,0,9/10/2025,8/11/2025,0,-22,10404,0,0,10404,TTD,500000,0,10404,0,0,0,Invoice,Aggregates,-8,0,admin@aamech-tt.com,RML,503515619,6818
7803,1003,TT01,51076932,67177115,A & A MECHANICAL CON,A & A Mechanical Contractors,DZ,9000002306,0,TRANSFER,0,7/10/2025,7/10/2025,0,0,-135135,0,0,-135135,TTD,500000,1-7028-APPLY TO ACCOUNT,0,0,0,0,Payment,Concrete / Ready Mix,24,-135135,admin@aamech-tt.com,RML,9000002306,6818
7802,1002,TT00,51043207,67067099, INACTIVE ZC14 A & N,A & N Hardware & Plumbing,X8,5000000024,0,0,0,5/01/2022,5/01/2022,0,1381,670,500,0,170,TTD,0,TCL-200890,0,0,0,170,Bounced Cheque,Cement,1395,0,anhardware@gmail.com,TCL,5000000024,4543
